"","x"
"GO:0000002","GO:0001933"
"GO:0000012","GO:0002062"
"GO:0000018","GO:0006094"
"GO:0000019","GO:0008284"
"GO:0000022","GO:0008544"
"GO:0000023","GO:0016925"
"GO:0000027","GO:0030307"
"GO:0000028","GO:0030334"
"GO:0000038","GO:0030593"
"GO:0000045","GO:0030833"
"GO:0000050","GO:0031334"
"GO:0000052","GO:0032496"
"GO:0000053","GO:0032755"
"GO:0000054","GO:0035924"
"GO:0000055","GO:0042098"
"GO:0000056","GO:0042102"
"GO:0000070","GO:0042130"
"GO:0000076","GO:0045184"
"GO:0000077","GO:0048013"
"GO:0000079","GO:0050729"
"GO:0000080","GO:0050860"
"GO:0000082","GO:0050918"
"GO:0000083","GO:0051493"
"GO:0000086","GO:0070555"
"GO:0000098","GO:0071222"
"GO:0000103","GO:0071346"
"GO:0000105","GO:0071347"
"GO:0000117","GO:0071356"
"GO:0000122","GO:1901216"
"GO:0000132","GO:1901224"
"GO:0000154","GO:1902476"
"GO:0000165","GO:1990830"
"GO:0000183","GO:0001533"
"GO:0000184","GO:0015629"
"GO:0000209","GO:0030175"
"GO:0000212","GO:0034774"
"GO:0000226","GO:0035578"
"GO:0000244","GO:0035580"
"GO:0000245","GO:0045111"
"GO:0000255","GO:0005200"
"GO:0000266","GO:0009055"
"GO:0000278","GO:0048306"
"GO:0000281","GO:0050839"
"GO:0000288","GO:0051015"
"GO:0000289","GO:0051020"
