"","x"
"GO:0000002","GO:0000245"
"GO:0000012","GO:0000381"
"GO:0000018","GO:0001558"
"GO:0000019","GO:0006635"
"GO:0000022","GO:0007249"
"GO:0000023","GO:0007264"
"GO:0000027","GO:0008333"
"GO:0000028","GO:0009410"
"GO:0000038","GO:0009749"
"GO:0000045","GO:0010507"
"GO:0000050","GO:0015031"
"GO:0000052","GO:0016567"
"GO:0000053","GO:0019827"
"GO:0000054","GO:0031647"
"GO:0000055","GO:0032435"
"GO:0000056","GO:0033209"
"GO:0000070","GO:0034063"
"GO:0000076","GO:0045471"
"GO:0000077","GO:0045669"
"GO:0000079","GO:0048026"
"GO:0000080","GO:1902895"
"GO:0000082","GO:2000648"
"GO:0000083","GO:2001234"
"GO:0000086","GO:0005778"
"GO:0000098","GO:0032993"
"GO:0000103","GO:1904115"
"GO:0000105","GO:0001221"
"GO:0000117","GO:0004842"
"GO:0000122","GO:0004879"
"GO:0000132","GO:0005085"
"GO:0000154","GO:0015459"
