"","x"
"GO:0000002","GO:0000209"
"GO:0000012","GO:0000422"
"GO:0000018","GO:0006275"
"GO:0000019","GO:0006351"
"GO:0000022","GO:0006486"
"GO:0000023","GO:0006487"
"GO:0000027","GO:0007049"
"GO:0000028","GO:0007268"
"GO:0000038","GO:0007420"
"GO:0000045","GO:0008344"
"GO:0000050","GO:0010508"
"GO:0000052","GO:0019827"
"GO:0000053","GO:0021762"
"GO:0000054","GO:0030308"
"GO:0000055","GO:0031333"
"GO:0000056","GO:0040014"
"GO:0000070","GO:0045116"
"GO:0000076","GO:0045471"
"GO:0000077","GO:0045665"
"GO:0000079","GO:0051085"
"GO:0000080","GO:0051865"
"GO:0000082","GO:0061024"
"GO:0000083","GO:0090263"
"GO:0000086","GO:1902476"
"GO:0000098","GO:0000139"
"GO:0000103","GO:0000932"
"GO:0000105","GO:0005637"
"GO:0000117","GO:0005768"
"GO:0000122","GO:0005778"
"GO:0000132","GO:0005789"
"GO:0000154","GO:0030141"
"GO:0000165","GO:0032040"
"GO:0000183","GO:0098978"
"GO:0000184","GO:0001664"
"GO:0000209","GO:0004842"
"GO:0000212","GO:0005154"
"GO:0000226","GO:0008134"
"GO:0000244","GO:0016538"
"GO:0000245","GO:0030544"
"GO:0000255","GO:0051117"
"GO:0000266","GO:0061630"
