"","x"
"GO:0000002","GO:0000122"
"GO:0000012","GO:0001701"
"GO:0000018","GO:0001755"
"GO:0000019","GO:0001764"
"GO:0000022","GO:0001822"
"GO:0000023","GO:0001947"
"GO:0000027","GO:0006493"
"GO:0000028","GO:0007266"
"GO:0000038","GO:0007399"
"GO:0000045","GO:0007411"
"GO:0000050","GO:0007417"
"GO:0000052","GO:0007565"
"GO:0000053","GO:0008333"
"GO:0000054","GO:0008584"
"GO:0000055","GO:0008630"
"GO:0000056","GO:0009653"
"GO:0000070","GO:0009791"
"GO:0000076","GO:0009952"
"GO:0000077","GO:0014070"
"GO:0000079","GO:0030148"
"GO:0000080","GO:0030509"
"GO:0000082","GO:0030968"
"GO:0000083","GO:0032355"
"GO:0000086","GO:0032870"
"GO:0000098","GO:0034097"
"GO:0000103","GO:0042149"
"GO:0000105","GO:0043433"
"GO:0000117","GO:0043434"
"GO:0000122","GO:0043524"
"GO:0000132","GO:0043627"
"GO:0000154","GO:0043967"
"GO:0000165","GO:0045582"
"GO:0000183","GO:0045599"
"GO:0000184","GO:0045668"
"GO:0000209","GO:0048167"
"GO:0000212","GO:0048538"
"GO:0000226","GO:0048666"
"GO:0000244","GO:0060271"
"GO:0000245","GO:0070588"
"GO:0000255","GO:1902895"
"GO:0000266","GO:0005778"
"GO:0000278","GO:0005794"
"GO:0000281","GO:0005795"
"GO:0000288","GO:0005796"
"GO:0000289","GO:0005929"
"GO:0000290","GO:0016324"
"GO:0000291","GO:0017053"
"GO:0000296","GO:0030176"
"GO:0000301","GO:0030424"
"GO:0000302","GO:0030425"
"GO:0000303","GO:0030672"
"GO:0000304","GO:0031410"
"GO:0000320","GO:0031514"
"GO:0000338","GO:0043025"
"GO:0000350","GO:0043235"
"GO:0000354","GO:0070161"
"GO:0000375","GO:1904115"
"GO:0000379","GO:0000976"
"GO:0000380","GO:0000977"
"GO:0000381","GO:0000978"
"GO:0000387","GO:0000981"
"GO:0000388","GO:0000987"
"GO:0000389","GO:0001221"
"GO:0000395","GO:0001222"
"GO:0000398","GO:0001223"
"GO:0000413","GO:0001227"
"GO:0000416","GO:0003700"
"GO:0000422","GO:0004879"
"GO:0000423","GO:0005154"
"GO:0000430","GO:0008013"
"GO:0000432","GO:0008236"
"GO:0000435","GO:0016791"
"GO:0000447","GO:0030331"
"GO:0000448","GO:0051219"
"GO:0000453","GO:0061629"
"GO:0000454","GO:0070888"
"GO:0000455","GO:1990837"
