"","x"
"GO:0000002","GO:0000086"
"GO:0000012","GO:0006629"
"GO:0000018","GO:0006695"
"GO:0000019","GO:0006811"
"GO:0000022","GO:0006879"
"GO:0000023","GO:0007052"
"GO:0000027","GO:0008203"
"GO:0000028","GO:0008284"
"GO:0000038","GO:0009636"
"GO:0000045","GO:0010506"
"GO:0000050","GO:0022900"
"GO:0000052","GO:0030307"
"GO:0000053","GO:0032092"
"GO:0000054","GO:0034220"
"GO:0000055","GO:0035725"
"GO:0000056","GO:0042177"
"GO:0000070","GO:0042742"
"GO:0000076","GO:0043406"
"GO:0000077","GO:0043536"
"GO:0000079","GO:0045648"
"GO:0000080","GO:0045665"
"GO:0000082","GO:0045931"
"GO:0000083","GO:0046718"
"GO:0000086","GO:0050679"
"GO:0000098","GO:0051493"
"GO:0000103","GO:0060261"
"GO:0000105","GO:0070373"
"GO:0000117","GO:0071364"
"GO:0000122","GO:0090314"
"GO:0000132","GO:0090398"
"GO:0000154","GO:2001244"
"GO:0000165","GO:0000307"
"GO:0000183","GO:0005769"
"GO:0000184","GO:0005911"
"GO:0000209","GO:0048471"
"GO:0000212","GO:0072686"
"GO:0000226","GO:0001223"
"GO:0000244","GO:0001618"
"GO:0000245","GO:0004222"
"GO:0000255","GO:0004712"
"GO:0000266","GO:0008017"
"GO:0000278","GO:0008022"
"GO:0000281","GO:0009055"
"GO:0000288","GO:0030331"
"GO:0000289","GO:0030332"
"GO:0000290","GO:0030374"
"GO:0000291","GO:0044389"
"GO:0000296","GO:0044877"
"GO:0000301","GO:0046966"
"GO:0000302","GO:0050661"
