"","x"
"GO:0000002","GO:0001843"
"GO:0000012","GO:0003007"
"GO:0000018","GO:0006006"
"GO:0000019","GO:0006397"
"GO:0000022","GO:0007029"
"GO:0000023","GO:0009636"
"GO:0000027","GO:0034504"
"GO:0000028","GO:0042981"
"GO:0000038","GO:0043484"
"GO:0000045","GO:0045070"
"GO:0000050","GO:0048812"
"GO:0000052","GO:0051493"
"GO:0000053","GO:0060548"
"GO:0000054","GO:0016607"
"GO:0000055","GO:0030864"
"GO:0000056","GO:0031526"
"GO:0000070","GO:0003724"
"GO:0000076","GO:0004712"
"GO:0000077","GO:0030332"
"GO:0000079","GO:0042277"
"GO:0000080","GO:0043565"
"GO:0000082","GO:0043621"
"GO:0000083","GO:0051879"
